Latitude, Heading, Longitude, Heading, Time, GPS Altitude, GPS Altitude Units, PMS 1.0, PMS 2.5, PMS 10.0, Gas ADC, Gas Oxidizing, Gas Reducing, Gas NH3, Noise Low, Noise Mid, Noise High, Noise Total, Temperature, Humidity, Pressure, Altitude, Lux, Proximity
5046.24604,N,00152.88490,W,185104.00,0.0,M,23,42,44,None,230511.62790697673,553900.99009901,187478.26086956525,0.4686152685801117,0.19473096571426085,0.27136660037489063,0.3115709448897544,14.79872056096267,85.3835768067556,1016.5886203405048,-27.758555319093638,1.16185,0
5046.24781,N,00152.88645,W,185105.00,0.0,M,22,41,42,None,233201.87793427237,572571.4285714285,193392.71255060736,0.7200237237963993,0.20734288850652072,0.11714552264961212,0.34817071165084407,14.775018632937668,85.4092739453124,1016.5839055632902,-27.719406954901928,0.88715,2
5046.24942,N,00152.88784,W,185106.00,0.0,M,22,39,41,None,231850.46728971967,553900.99009901,187478.26086956525,0.6879883178919287,0.1291412315584376,0.18864716634738476,0.335258905265917,14.764128559986442,85.81960200474805,1016.5839804152918,-27.72002847712535,0.88715,4
5046.25105,N,00152.88970,W,185107.00,0.0,M,21,38,40,None,235943.1279620853,560000.0000000003,190400.0,0.28690134962018965,0.12788056441242587,0.11734231320243212,0.17737474241168258,14.760605301371834,85.96013086411651,1016.5930308552762,-27.79517715788051,0.88715,0
5046.25235,N,00152.89132,W,185108.00,0.0,M,21,38,40,None,234566.03773584918,553900.99009901,187478.26086956525,0.2162628244700675,0.0904225981656702,0.08868790216732715,0.13179110826768828,14.76092559760384,85.96016491505277,1016.6002009470133,-27.854712324704032,1.16185,2
5046.25358,N,00152.89267,W,185109.00,0.0,M,19,35,37,None,237333.33333333337,553900.99009901,188444.4444444445,0.3199499800243818,0.21201708616468168,0.09539243732803582,0.20911983450569974,14.764128559986442,86.03940872650237,1016.6188173706779,-28.00928782351872,0.0,1
5046.25462,N,00152.89371,W,185110.00,0.0,M,19,35,38,None,235943.1279620853,553900.99009901,187478.26086956525,0.20933761862751188,0.15164861748760136,0.24790052159362216,0.20296225256957848,14.764448856230956,85.8083634137042,1016.6110573779863,-27.94485549340255,1.16185,0
5046.25556,N,00152.89447,W,185111.00,0.0,M,20,35,38,None,235943.1279620853,553900.99009901,187478.26086956525,0.23675610503548072,0.14067062989887588,0.13666123183231196,0.17136265558888952,14.770214188826595,85.98933272796563,1016.6223377371732,-28.038517799146945,1.16185,0
5046.25643,N,00152.89544,W,185112.00,0.0,M,20,34,37,None,237333.33333333337,553900.99009901,188444.4444444445,0.2191637947661201,0.1857830122685339,0.29769794398875105,0.2342149170078017,14.770534485092707,85.9217334984052,1016.6295079458991,-28.09805254766241,1.16185,0
5046.25718,N,00152.89616,W,185113.00,0.0,M,21,34,37,None,237333.33333333337,553900.99009901,187478.26086956525,0.21139867405369367,0.10796705624700619,0.144761794462701,0.15470917492113362,14.760605301371834,85.59940905713272,1016.624549834498,-28.056885035441613,1.16185,1
5046.25789,N,00152.89694,W,185114.00,0.0,M,20,32,34,None,237333.33333333337,553900.99009901,187478.26086956525,0.2129845308087907,0.10599266377335965,0.10734336448005684,0.14210685302073572,14.750355822547863,85.6490554497768,1016.6256924076959,-28.066371907307836,0.0,0
5046.25871,N,00152.89764,W,185115.00,0.0,M,20,32,34,None,235943.1279620853,547921.5686274517,187478.26086956525,0.2222487460896266,0.15130458645795775,0.21645732194671333,0.1966702181647659,14.747152860654115,85.68817122062774,1016.6203470383273,-28.02198882599064,1.16185,0
5046.25957,N,00152.89869,W,185116.00,0.0,M,20,31,33,None,235943.1279620853,547921.5686274517,187478.26086956525,0.2375873426754676,0.14293318921471007,0.18947727074592244,0.1899992675453667,14.748754341586778,85.71652178735633,1016.6114076823843,-27.947764129550198,0.0,0
5046.26043,N,00152.89997,W,185117.00,0.0,M,21,35,37,None,235943.1279620853,547921.5686274517,187478.26086956525,0.22589592975120792,0.11487921922813807,0.09261753532988821,0.14446422810307807,14.754519673179697,85.7622217117466,1016.6094171138202,-27.93123609425755,0.88715,0
5046.26155,N,00152.90118,W,185118.00,0.0,M,22,35,37,None,237333.33333333337,553900.99009901,187478.26086956525,0.21489573738463197,0.16974342492783034,0.276079201690903,0.22023945466778846,14.755800858028147,85.70599441224077,1016.6148729855598,-27.97653707903273,0.0,1
5046.26255,N,00152.90183,W,185119.00,0.0,M,23,39,41,None,237333.33333333337,547921.5686274517,187478.26086956525,0.2717361618379131,0.1654141988394946,0.07154232132669672,0.16956422733470147,14.758042931556702,85.84150161245203,1016.6202735814771,-28.021378905863102,1.16185,2
5046.26345,N,00152.90218,W,185120.00,0.0,M,24,40,41,None,237333.33333333337,553900.99009901,187478.26086956525,0.20923154057578708,0.0843198671809408,0.0435433898003557,0.11236493251902786,14.75900382022885,85.92614472477491,1016.6285127357529,-28.08978926797835,1.16185,0
5046.26462,N,00152.90276,W,185121.00,0.0,M,23,39,41,None,238736.84210526323,553900.99009901,187478.26086956525,0.27101471679377664,0.1388126297243768,0.06087526272737406,0.15690086974850917,14.763808263743067,85.88156625091597,1016.6083294295863,-27.922204852746273,1.16185,0
5046.26599,N,00152.90356,W,185122.00,0.0,M,23,39,41,None,240153.84615384627,547921.5686274517,187478.26086956525,0.2400779398977021,0.09094302190359468,0.0550844440819162,0.128701801961071,14.767972114995633,85.79182773988752,1016.5804410630415,-27.690639962713963,1.16185,0
5046.26741,N,00152.90474,W,185123.00,0.0,M,23,39,41,None,240153.84615384627,547921.5686274517,187478.26086956525,0.24843404491634952,0.10097983635760163,0.09478065137059163,0.14806484421484759,14.776620114364869,85.99565024506383,1016.556717266489,-27.49365061053458,1.16185,0
